ID,Código,Descrição,Unidade,NCM,Preço de compra final,Situação,Estoque,Preço de custo,Fornecedor,Estoque minimo,Largura do Produto,Altura do Produto,Profundidade do produto,Código Pai,Grupo de produtos,Marca,CEST,Volumes,Descrição Curta,Cross-Docking,URL Imagens Externas,Link Externo,Meses Garantia no Fornecedor,Clonar dados do pai,Frete Grátis,Número FCI,Unidade de medida
16470946481,86,ESPELHEIRA EUFORIA,UN,,179,Ativo,0,"88,9",FIORELLO,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16470947665,87,COR:FREIJO/BRANCO,UN,,179,Ativo,0,"88,9",FIORELLO,0,0.00,0.00,0.00,86,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
16551353025,583,Estaçao De Trabalho Zanzini Max 1gv,un,,199,Ativo,0,"110,11",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16467743601,	,ESTANTE AGNE,UN,9403.50.00,199,Ativo,0,100,AGNE,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16467744697,	,ESTANTE AGNE COR:MARROM CRU,UN,9403.50.00,199,Ativo,-4,100,AGNE,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
16505971701,372,ESTANTE AGNE COR:VARIADA,UN,9403.50.00,199,Ativo,-6,100,AGNE,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
16531741439,534,Estante de Metal/MDP Usada,un,,349,Ativo,0,0,,0,0.00,0.00,0.00,	,,,,0,,0,	,,,NÃO,NÃO,,Centímetro
16544758481,557,ESTANTE SALA DE ESTAR USADA,un,,600,Ativo,0,200,USADOS,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16599175383,721,ESTOF MACIEL CHILE 3LUG 200CM VELUDO 696.0.668 Veludo Grafite,UN,,"1.399,00",Ativo,0,"281,57",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16618763837,753,ESTOF MACIEL CHILE 3LUG 230CM VELUDO,UN,,"1.099,00",Ativo,0,"306,35",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16575133300,642,ESTOF RIU TEXAS 4LUG 290CM 2MOD VELUDO 869 Veludo Cinza,UN,,"2.499,00",Ativo,0,557,salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16584467248,662,ESTOF RIU VENEZA 3LUG 230CM VELUDO 958.15 Veludo Cinza,UN,,"1.999,00",Ativo,0,"443,39",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
